Ticker,Cluster,k
AAL.L,1,2
ADM.L,1,2
AUTO.L,1,2
AV.L,1,2
AZN.L,1,2
BARC.L,1,2
BEZ.L,1,2
BME.L,1,2
BP.L,1,2
CCH.L,1,2
CNA.L,1,2
CTEC.L,1,2
DGE.L,1,2
GLEN.L,1,2
GSK.L,1,2
HIK.L,1,2
HSBA.L,1,2
IMB.L,1,2
JD.L,1,2
LGEN.L,1,2
LLOY.L,1,2
MKS.L,1,2
NG.L,1,2
NWG.L,1,2
PRU.L,1,2
REL.L,1,2
RIO.L,1,2
RKT.L,1,2
SBRY.L,1,2
SHEL.L,1,2
SMIN.L,1,2
SN.L,1,2
SSE.L,1,2
STAN.L,1,2
SVT.L,1,2
TSCO.L,1,2
ULVR.L,1,2
UU.L,1,2
WEIR.L,1,2
RR.L,2,2
AV.L,1,3
AZN.L,1,3
BARC.L,1,3
BEZ.L,1,3
BP.L,1,3
CNA.L,1,3
GLEN.L,1,3
HSBA.L,1,3
IMB.L,1,3
LLOY.L,1,3
MKS.L,1,3
NWG.L,1,3
REL.L,1,3
SHEL.L,1,3
STAN.L,1,3
AAL.L,2,3
ADM.L,2,3
AUTO.L,2,3
BME.L,2,3
CCH.L,2,3
CTEC.L,2,3
DGE.L,2,3
GSK.L,2,3
HIK.L,2,3
JD.L,2,3
LGEN.L,2,3
NG.L,2,3
PRU.L,2,3
RIO.L,2,3
RKT.L,2,3
SBRY.L,2,3
SMIN.L,2,3
SN.L,2,3
SSE.L,2,3
SVT.L,2,3
TSCO.L,2,3
ULVR.L,2,3
UU.L,2,3
WEIR.L,2,3
RR.L,3,3
AAL.L,1,4
ADM.L,1,4
AUTO.L,1,4
BME.L,1,4
CCH.L,1,4
CTEC.L,1,4
DGE.L,1,4
GSK.L,1,4
HIK.L,1,4
JD.L,1,4
LGEN.L,1,4
NG.L,1,4
PRU.L,1,4
RIO.L,1,4
RKT.L,1,4
SBRY.L,1,4
SMIN.L,1,4
SN.L,1,4
SSE.L,1,4
SVT.L,1,4
TSCO.L,1,4
ULVR.L,1,4
UU.L,1,4
WEIR.L,1,4
RR.L,2,4
AV.L,3,4
AZN.L,3,4
BARC.L,3,4
BEZ.L,3,4
BP.L,3,4
GLEN.L,3,4
HSBA.L,3,4
IMB.L,3,4
LLOY.L,3,4
MKS.L,3,4
NWG.L,3,4
REL.L,3,4
SHEL.L,3,4
STAN.L,3,4
CNA.L,4,4
